
Processing AlignBWCE_Kok.cpp...
Shift of Center of gravity w.r.t corresponding design value
-272.581μm	11.1182μm	81.593μm


theta = -0.103279	 SumSqErr = 804.267

theta = -0.103179	 SumSqErr = 802.712

theta = -0.103079	 SumSqErr = 801.159

theta = -0.102979	 SumSqErr = 799.609

theta = -0.102879	 SumSqErr = 798.059

theta = -0.102779	 SumSqErr = 796.511

theta = -0.102679	 SumSqErr = 794.963

theta = -0.102579	 SumSqErr = 793.418

theta = -0.102479	 SumSqErr = 791.874

theta = -0.102379	 SumSqErr = 790.332

theta = -0.102279	 SumSqErr = 788.79

theta = -0.102179	 SumSqErr = 787.252

theta = -0.102079	 SumSqErr = 785.714

theta = -0.101979	 SumSqErr = 784.178

theta = -0.101879	 SumSqErr = 782.642

theta = -0.101779	 SumSqErr = 781.109

theta = -0.101679	 SumSqErr = 779.578

theta = -0.101579	 SumSqErr = 778.046

theta = -0.101479	 SumSqErr = 776.519

theta = -0.101379	 SumSqErr = 774.991

theta = -0.101279	 SumSqErr = 773.464

theta = -0.101179	 SumSqErr = 771.941

theta = -0.101079	 SumSqErr = 770.417

theta = -0.100979	 SumSqErr = 768.896

theta = -0.100879	 SumSqErr = 767.377

theta = -0.100779	 SumSqErr = 765.858

theta = -0.100679	 SumSqErr = 764.341

theta = -0.100579	 SumSqErr = 762.827

theta = -0.100479	 SumSqErr = 761.312

theta = -0.100379	 SumSqErr = 759.801

theta = -0.100279	 SumSqErr = 758.29

theta = -0.100179	 SumSqErr = 756.78

theta = -0.100079	 SumSqErr = 755.272

theta = -0.0999787	 SumSqErr = 753.766

theta = -0.0998787	 SumSqErr = 752.258

theta = -0.0997787	 SumSqErr = 750.758

